,Item,Part,R/W,Category,Description,Data Type,Units,Min Value,Max Value
6981,2423,309,R,Leaf Y2-01,Outer limit for the servo controller deadband.,signed 32-bit integer,micron at Leaf Bank,0.0,2147483647.0
6982,2423,353,R,Leaf Y2-01,The current limit is set to its maximum for all output demand magnitudes less than or equal to the Stribeck Threshold.,unsigned 16-bit integer,percent,0.0,100.0
6983,2423,355,R,Leaf Y2-01,Y21 PCB Motor Drive Power Enable.,unsigned 8-bit integer,C boolean,0.0,1.0
6984,2423,368,R,Leaf Y2-01,Number of detected pixels in a leaf reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
6985,2423,387,R,Leaf Y2-01,TRUE when the servo controller monitors its closed loop performance.,unsigned 8-bit integer,C boolean,0.0,1.0
6986,2423,401,RW,Leaf Y2-01,Constant term in optics distortion polynomial.,signed 32-bit integer,gain,-2147483648.0,2147483647.0
6987,2423,404,R,Leaf Y2-01,Permits the disabling of an axis to be delayed when the servo controller moves out of open or closed loop control.,signed 32-bit integer,ms,0.0,2147483647.0
6988,2424,101,R,Leaf Y2-01,The position of the centre of the leaf reflector along its video line.,signed 16-bit integer,pixel/10,0.0,7679.0
6989,2424,107,RW,Leaf Y2-01,Gain used to convert calculated demand to motor to actual demand.,signed 16-bit integer,gain expressed as ratio of 2048,-32768.0,32767.0
6990,2424,111,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/100 at Leaf Bank,0.0,7679.0
6991,2424,112,RW,Leaf Y2-01,Step start position.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
6992,2424,113,RW,Leaf Y2-01,Step stop position.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
6993,2424,114,R,Leaf Y2-01,Error/Warning flags (active high): b0 - Out of position; b1 - Reflector not found.,unsigned 8-bit integer,flags,0.0,255.0
6994,2424,115,RW,Leaf Y2-01,Actual demand to motor.,signed 8-bit integer,motor demand,-128.0,127.0
6995,2424,121,R,Leaf Y2-01,Inner limit for the servo controller deadband.,signed 32-bit integer,micron at Leaf Bank,0.0,2147483647.0
6996,2424,122,R,Leaf Y2-01,Maximum output from the servo controller.,signed 32-bit integer,TBA,0.0,100.0
6997,2424,129,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
6998,2424,133,R,Leaf Y2-01,Gain to convert pixels to microns.,signed 32-bit integer,gain in 1x10E-5,-2147483648.0,2147483647.0
6999,2424,136,R,Leaf Y2-01,"Compensates for a deadband in the drive chain (includes servo electronics, motor, stiction).",unsigned 16-bit integer,percent,0.0,100.0
7000,2424,137,R,Leaf Y2-01,"If the servo controller remains within its deadband for the specified timeout, then it is considered to be at its setpoint and may get disabled.",signed 32-bit integer,ms,0.0,2147483647.0
7001,2424,150,RW,Leaf Y2-01,Workflow set gain to adjust the radiation mapping.,signed 32-bit integer,TBA,-2147483648.0,-2147483648.0
7002,2424,152,RW,Leaf Y2-01,Workflow set offset to adjust the radiation mapping.,signed 32-bit integer,TBA,-2147483648.0,-2147483648.0
7003,2424,154,RW,Leaf Y2-01,Offset between the centre of the marker object and the leaf tip.,signed 32-bit integer,micron at Leaf Bank,-2147483648.0,2147483647.0
7004,2424,161,R,Leaf Y2-01,Time that a sensor loss error must persist for before being reported.,signed 32-bit integer,ms,0.0,2147483647.0
7005,2424,162,R,Leaf Y2-01,The bias applied to the actuator output value.,signed 16-bit integer,percent,0.0,100.0
7006,2424,163,R,Leaf Y2-01,Lowest value for the current limit.,unsigned 16-bit integer,mA,0.0,65535.0
7007,2424,164,R,Leaf Y2-01,Highest value for the current limit.,unsigned 16-bit integer,mA,0.0,65535.0
7008,2424,165,R,Leaf Y2-01,Time that the actuator is in current limit before an error is reported.,unsigned 16-bit integer,ms,0.0,65535.0
7009,2424,168,RW,Leaf Y2-01,Set to TRUE to enable the motor.,unsigned 8-bit integer,C boolean,0.0,1.0
7010,2424,172,RW,Leaf Y2-01,Reflector width,unsigned 16-bit integer,pixel,1.0,50.0
7011,2424,185,RW,Leaf Y2-01,Least-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
7012,2424,186,RW,Leaf Y2-01,Most-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
7013,2424,187,R,Leaf Y2-01,Leaf travel fine.,unsigned 16-bit integer,mm/10 at isocentre,0.0,100.0
7014,2424,192,R,Leaf Y2-01,Leaf reflector width.,unsigned 16-bit integer,pixel,0.0,65535.0
7015,2424,193,R,Leaf Y2-01,Leaf reflector height.,unsigned 16-bit integer,pixel,0.0,65535.0
7016,2424,195,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/100 at Leaf Bank,-32768.0,-32768.0
7017,2424,196,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
7018,2424,197,RW,Leaf Y2-01,Least-significant WORD of count of number of times motor has been energised.,unsigned 16-bit integer,none,0.0,65535.0
7019,2424,198,RW,Leaf Y2-01,Most-significant WORD of count of number of times motor has been energised.,unsigned 16-bit integer,none,0.0,65535.0
7020,2424,200,RW,Leaf Y2-01,Count of the number of times the leaf reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
7021,2424,201,RW,Leaf Y2-01,Minimum number of pixels that must be detected to identify a leaf reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
7022,2424,202,RW,Leaf Y2-01,Maximum number of pixels that can be detected to identify a leaf reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
7023,2424,205,R,Leaf Y2-01,Records the magnitude of the lateral movement of the leaf.,signed 16-bit integer,mm/10 at isocentre,0.0,7679.0
7024,2424,206,R,Leaf Y2-01,The current currently being drawn by the motor.,unsigned 8-bit integer,1.03mA/bit,0.0,255.0
7025,2424,207,RW,Leaf Y2-01,The maximum current drawn by the motor.,unsigned 8-bit integer,1.03mA/bit,0.0,255.0
7026,2424,213,RW,Leaf Y2-01,Limits the available axis current.,unsigned 8-bit integer,ADC,0.0,255.0
7027,2424,215,RW,Leaf Y2-01,Count of the number of times the size of a leaf reflector is nearing its limit.,unsigned 16-bit integer,none,0.0,65535.0
7028,2424,216,R,Leaf Y2-01,Actual demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
7029,2424,218,R,Leaf Y2-01,Nominal calculated demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
7030,2424,219,R,Leaf Y2-01,Nominal calculated speed for dynamic moves.,signed 16-bit integer,10ths mms-1 at isocentre,-32768.0,32767.0
7031,2424,220,R,Leaf Y2-01,Current instantaneous positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
7032,2424,223,R,Leaf Y2-01,Averaged positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
7033,2424,227,R,Leaf Y2-01,Current positional tolerance.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
7034,2424,250,R,Leaf Y2-01,Distance to target position,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
7035,2424,254,R,Leaf Y2-01,The maximum value that the differential term inside the servo controller can reach.,signed 32-bit integer,gain in 1x10E-5,0.0,2147483647.0
7036,2424,255,R,Leaf Y2-01,The maximum value that the integral term inside the servo controller can build up to.,signed 32-bit integer,gain in 1x10E-5,0.0,2147483647.0
7037,2424,256,R,Leaf Y2-01,Maximum output value.,unsigned 16-bit integer,percent,0.0,100.0
7038,2424,257,R,Leaf Y2-01,An error will be raised by the servo controller if the difference between its setpoint and actual value is greater than this value.,signed 32-bit integer,micron at Leaf Bank,0.0,2147483647.0
7039,2424,300,R,Leaf Y2-01,The maximum velocity that can be achieved during a preplanned move.,unsigned 16-bit integer,100ths mms-1 at Leaf Bank,0.0,65535.0
7040,2424,301,R,Leaf Y2-01,The maximum rate of acceleration that can be achieved during a preplanned move.,unsigned 16-bit integer,100ths mms-2 at Leaf Bank,0.0,65535.0
7041,2424,302,R,Leaf Y2-01,Nominal distance between the leaf tip and the mechanical centre when a leaf is full extended and its dynamic leaf guide fully retracted.,signed 32-bit integer,micron at Leaf Bank,-2147483648.0,2147483647.0
7042,2424,308,R,Leaf Y2-01,Preloads the Integral term in the servo controller to compensate for a required offset in the output demand.,signed 32-bit integer,gain,0.0,2147483647.0
7043,2424,309,R,Leaf Y2-01,Outer limit for the servo controller deadband.,signed 32-bit integer,micron at Leaf Bank,0.0,2147483647.0
7044,2424,353,R,Leaf Y2-01,The current limit is set to its maximum for all output demand magnitudes less than or equal to the Stribeck Threshold.,unsigned 16-bit integer,percent,0.0,100.0
7045,2424,355,R,Leaf Y2-01,Y21 PCB Motor Drive Power Enable.,unsigned 8-bit integer,C boolean,0.0,1.0
7046,2424,368,R,Leaf Y2-01,Number of detected pixels in a leaf reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
7047,2424,387,R,Leaf Y2-01,TRUE when the servo controller monitors its closed loop performance.,unsigned 8-bit integer,C boolean,0.0,1.0
7048,2424,401,RW,Leaf Y2-01,Constant term in optics distortion polynomial.,signed 32-bit integer,gain,-2147483648.0,2147483647.0
7049,2424,404,R,Leaf Y2-01,Permits the disabling of an axis to be delayed when the servo controller moves out of open or closed loop control.,signed 32-bit integer,ms,0.0,2147483647.0
7050,2425,101,R,Leaf Y2-01,The position of the centre of the leaf reflector along its video line.,signed 16-bit integer,pixel/10,0.0,7679.0
7051,2425,107,RW,Leaf Y2-01,Gain used to convert calculated demand to motor to actual demand.,signed 16-bit integer,gain expressed as ratio of 2048,-32768.0,32767.0
7052,2425,111,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/100 at Leaf Bank,0.0,7679.0
7053,2425,112,RW,Leaf Y2-01,Step start position.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
7054,2425,113,RW,Leaf Y2-01,Step stop position.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
7055,2425,114,R,Leaf Y2-01,Error/Warning flags (active high): b0 - Out of position; b1 - Reflector not found.,unsigned 8-bit integer,flags,0.0,255.0
7056,2425,115,RW,Leaf Y2-01,Actual demand to motor.,signed 8-bit integer,motor demand,-128.0,127.0
7057,2425,121,R,Leaf Y2-01,Inner limit for the servo controller deadband.,signed 32-bit integer,micron at Leaf Bank,0.0,2147483647.0
7058,2425,122,R,Leaf Y2-01,Maximum output from the servo controller.,signed 32-bit integer,TBA,0.0,100.0
7059,2425,129,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
7060,2425,133,R,Leaf Y2-01,Gain to convert pixels to microns.,signed 32-bit integer,gain in 1x10E-5,-2147483648.0,2147483647.0
7061,2425,136,R,Leaf Y2-01,"Compensates for a deadband in the drive chain (includes servo electronics, motor, stiction).",unsigned 16-bit integer,percent,0.0,100.0
7062,2425,137,R,Leaf Y2-01,"If the servo controller remains within its deadband for the specified timeout, then it is considered to be at its setpoint and may get disabled.",signed 32-bit integer,ms,0.0,2147483647.0
7063,2425,150,RW,Leaf Y2-01,Workflow set gain to adjust the radiation mapping.,signed 32-bit integer,TBA,-2147483648.0,-2147483648.0
7064,2425,152,RW,Leaf Y2-01,Workflow set offset to adjust the radiation mapping.,signed 32-bit integer,TBA,-2147483648.0,-2147483648.0
7065,2425,154,RW,Leaf Y2-01,Offset between the centre of the marker object and the leaf tip.,signed 32-bit integer,micron at Leaf Bank,-2147483648.0,2147483647.0
7066,2425,161,R,Leaf Y2-01,Time that a sensor loss error must persist for before being reported.,signed 32-bit integer,ms,0.0,2147483647.0
7067,2425,162,R,Leaf Y2-01,The bias applied to the actuator output value.,signed 16-bit integer,percent,0.0,100.0
7068,2425,163,R,Leaf Y2-01,Lowest value for the current limit.,unsigned 16-bit integer,mA,0.0,65535.0
7069,2425,164,R,Leaf Y2-01,Highest value for the current limit.,unsigned 16-bit integer,mA,0.0,65535.0
7070,2425,165,R,Leaf Y2-01,Time that the actuator is in current limit before an error is reported.,unsigned 16-bit integer,ms,0.0,65535.0
7071,2425,168,RW,Leaf Y2-01,Set to TRUE to enable the motor.,unsigned 8-bit integer,C boolean,0.0,1.0
7072,2425,172,RW,Leaf Y2-01,Reflector width,unsigned 16-bit integer,pixel,1.0,50.0
7073,2425,185,RW,Leaf Y2-01,Least-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
7074,2425,186,RW,Leaf Y2-01,Most-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
7075,2425,187,R,Leaf Y2-01,Leaf travel fine.,unsigned 16-bit integer,mm/10 at isocentre,0.0,100.0
7076,2425,192,R,Leaf Y2-01,Leaf reflector width.,unsigned 16-bit integer,pixel,0.0,65535.0
7077,2425,193,R,Leaf Y2-01,Leaf reflector height.,unsigned 16-bit integer,pixel,0.0,65535.0
7078,2425,195,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/100 at Leaf Bank,-32768.0,-32768.0
7079,2425,196,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
7080,2425,197,RW,Leaf Y2-01,Least-significant WORD of count of number of times motor has been energised.,unsigned 16-bit integer,none,0.0,65535.0
7081,2425,198,RW,Leaf Y2-01,Most-significant WORD of count of number of times motor has been energised.,unsigned 16-bit integer,none,0.0,65535.0
7082,2425,200,RW,Leaf Y2-01,Count of the number of times the leaf reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
7083,2425,201,RW,Leaf Y2-01,Minimum number of pixels that must be detected to identify a leaf reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
7084,2425,202,RW,Leaf Y2-01,Maximum number of pixels that can be detected to identify a leaf reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
7085,2425,205,R,Leaf Y2-01,Records the magnitude of the lateral movement of the leaf.,signed 16-bit integer,mm/10 at isocentre,0.0,7679.0
7086,2425,206,R,Leaf Y2-01,The current currently being drawn by the motor.,unsigned 8-bit integer,1.03mA/bit,0.0,255.0
7087,2425,207,RW,Leaf Y2-01,The maximum current drawn by the motor.,unsigned 8-bit integer,1.03mA/bit,0.0,255.0
7088,2425,213,RW,Leaf Y2-01,Limits the available axis current.,unsigned 8-bit integer,ADC,0.0,255.0
7089,2425,215,RW,Leaf Y2-01,Count of the number of times the size of a leaf reflector is nearing its limit.,unsigned 16-bit integer,none,0.0,65535.0
7090,2425,216,R,Leaf Y2-01,Actual demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
7091,2425,218,R,Leaf Y2-01,Nominal calculated demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
7092,2425,219,R,Leaf Y2-01,Nominal calculated speed for dynamic moves.,signed 16-bit integer,10ths mms-1 at isocentre,-32768.0,32767.0
7093,2425,220,R,Leaf Y2-01,Current instantaneous positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
7094,2425,223,R,Leaf Y2-01,Averaged positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
7095,2425,227,R,Leaf Y2-01,Current positional tolerance.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
7096,2425,250,R,Leaf Y2-01,Distance to target position,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
7097,2425,254,R,Leaf Y2-01,The maximum value that the differential term inside the servo controller can reach.,signed 32-bit integer,gain in 1x10E-5,0.0,2147483647.0
7098,2425,255,R,Leaf Y2-01,The maximum value that the integral term inside the servo controller can build up to.,signed 32-bit integer,gain in 1x10E-5,0.0,2147483647.0
7099,2425,256,R,Leaf Y2-01,Maximum output value.,unsigned 16-bit integer,percent,0.0,100.0
7100,2425,257,R,Leaf Y2-01,An error will be raised by the servo controller if the difference between its setpoint and actual value is greater than this value.,signed 32-bit integer,micron at Leaf Bank,0.0,2147483647.0
7101,2425,300,R,Leaf Y2-01,The maximum velocity that can be achieved during a preplanned move.,unsigned 16-bit integer,100ths mms-1 at Leaf Bank,0.0,65535.0
7102,2425,301,R,Leaf Y2-01,The maximum rate of acceleration that can be achieved during a preplanned move.,unsigned 16-bit integer,100ths mms-2 at Leaf Bank,0.0,65535.0
7103,2425,302,R,Leaf Y2-01,Nominal distance between the leaf tip and the mechanical centre when a leaf is full extended and its dynamic leaf guide fully retracted.,signed 32-bit integer,micron at Leaf Bank,-2147483648.0,2147483647.0
7104,2425,308,R,Leaf Y2-01,Preloads the Integral term in the servo controller to compensate for a required offset in the output demand.,signed 32-bit integer,gain,0.0,2147483647.0
7105,2425,309,R,Leaf Y2-01,Outer limit for the servo controller deadband.,signed 32-bit integer,micron at Leaf Bank,0.0,2147483647.0
7106,2425,353,R,Leaf Y2-01,The current limit is set to its maximum for all output demand magnitudes less than or equal to the Stribeck Threshold.,unsigned 16-bit integer,percent,0.0,100.0
7107,2425,355,R,Leaf Y2-01,Y21 PCB Motor Drive Power Enable.,unsigned 8-bit integer,C boolean,0.0,1.0
7108,2425,368,R,Leaf Y2-01,Number of detected pixels in a leaf reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
7109,2425,387,R,Leaf Y2-01,TRUE when the servo controller monitors its closed loop performance.,unsigned 8-bit integer,C boolean,0.0,1.0
7110,2425,401,RW,Leaf Y2-01,Constant term in optics distortion polynomial.,signed 32-bit integer,gain,-2147483648.0,2147483647.0
7111,2425,404,R,Leaf Y2-01,Permits the disabling of an axis to be delayed when the servo controller moves out of open or closed loop control.,signed 32-bit integer,ms,0.0,2147483647.0
7112,2426,101,R,Leaf Y2-01,The position of the centre of the leaf reflector along its video line.,signed 16-bit integer,pixel/10,0.0,7679.0
7113,2426,107,RW,Leaf Y2-01,Gain used to convert calculated demand to motor to actual demand.,signed 16-bit integer,gain expressed as ratio of 2048,-32768.0,32767.0
7114,2426,111,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/100 at Leaf Bank,0.0,7679.0
7115,2426,112,RW,Leaf Y2-01,Step start position.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
7116,2426,113,RW,Leaf Y2-01,Step stop position.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
7117,2426,114,R,Leaf Y2-01,Error/Warning flags (active high): b0 - Out of position; b1 - Reflector not found.,unsigned 8-bit integer,flags,0.0,255.0
7118,2426,115,RW,Leaf Y2-01,Actual demand to motor.,signed 8-bit integer,motor demand,-128.0,127.0
7119,2426,121,R,Leaf Y2-01,Inner limit for the servo controller deadband.,signed 32-bit integer,micron at Leaf Bank,0.0,2147483647.0
7120,2426,122,R,Leaf Y2-01,Maximum output from the servo controller.,signed 32-bit integer,TBA,0.0,100.0
7121,2426,129,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
7122,2426,133,R,Leaf Y2-01,Gain to convert pixels to microns.,signed 32-bit integer,gain in 1x10E-5,-2147483648.0,2147483647.0
7123,2426,136,R,Leaf Y2-01,"Compensates for a deadband in the drive chain (includes servo electronics, motor, stiction).",unsigned 16-bit integer,percent,0.0,100.0
7124,2426,137,R,Leaf Y2-01,"If the servo controller remains within its deadband for the specified timeout, then it is considered to be at its setpoint and may get disabled.",signed 32-bit integer,ms,0.0,2147483647.0
7125,2426,150,RW,Leaf Y2-01,Workflow set gain to adjust the radiation mapping.,signed 32-bit integer,TBA,-2147483648.0,-2147483648.0
7126,2426,152,RW,Leaf Y2-01,Workflow set offset to adjust the radiation mapping.,signed 32-bit integer,TBA,-2147483648.0,-2147483648.0
7127,2426,154,RW,Leaf Y2-01,Offset between the centre of the marker object and the leaf tip.,signed 32-bit integer,micron at Leaf Bank,-2147483648.0,2147483647.0
7128,2426,161,R,Leaf Y2-01,Time that a sensor loss error must persist for before being reported.,signed 32-bit integer,ms,0.0,2147483647.0
7129,2426,162,R,Leaf Y2-01,The bias applied to the actuator output value.,signed 16-bit integer,percent,0.0,100.0
7130,2426,163,R,Leaf Y2-01,Lowest value for the current limit.,unsigned 16-bit integer,mA,0.0,65535.0
7131,2426,164,R,Leaf Y2-01,Highest value for the current limit.,unsigned 16-bit integer,mA,0.0,65535.0
7132,2426,165,R,Leaf Y2-01,Time that the actuator is in current limit before an error is reported.,unsigned 16-bit integer,ms,0.0,65535.0
7133,2426,168,RW,Leaf Y2-01,Set to TRUE to enable the motor.,unsigned 8-bit integer,C boolean,0.0,1.0
7134,2426,172,RW,Leaf Y2-01,Reflector width,unsigned 16-bit integer,pixel,1.0,50.0
7135,2426,185,RW,Leaf Y2-01,Least-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
7136,2426,186,RW,Leaf Y2-01,Most-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
7137,2426,187,R,Leaf Y2-01,Leaf travel fine.,unsigned 16-bit integer,mm/10 at isocentre,0.0,100.0
7138,2426,192,R,Leaf Y2-01,Leaf reflector width.,unsigned 16-bit integer,pixel,0.0,65535.0
7139,2426,193,R,Leaf Y2-01,Leaf reflector height.,unsigned 16-bit integer,pixel,0.0,65535.0
7140,2426,195,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/100 at Leaf Bank,-32768.0,-32768.0
7141,2426,196,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
7142,2426,197,RW,Leaf Y2-01,Least-significant WORD of count of number of times motor has been energised.,unsigned 16-bit integer,none,0.0,65535.0
7143,2426,198,RW,Leaf Y2-01,Most-significant WORD of count of number of times motor has been energised.,unsigned 16-bit integer,none,0.0,65535.0
7144,2426,200,RW,Leaf Y2-01,Count of the number of times the leaf reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
7145,2426,201,RW,Leaf Y2-01,Minimum number of pixels that must be detected to identify a leaf reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
7146,2426,202,RW,Leaf Y2-01,Maximum number of pixels that can be detected to identify a leaf reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
7147,2426,205,R,Leaf Y2-01,Records the magnitude of the lateral movement of the leaf.,signed 16-bit integer,mm/10 at isocentre,0.0,7679.0
7148,2426,206,R,Leaf Y2-01,The current currently being drawn by the motor.,unsigned 8-bit integer,1.03mA/bit,0.0,255.0
7149,2426,207,RW,Leaf Y2-01,The maximum current drawn by the motor.,unsigned 8-bit integer,1.03mA/bit,0.0,255.0
7150,2426,213,RW,Leaf Y2-01,Limits the available axis current.,unsigned 8-bit integer,ADC,0.0,255.0
7151,2426,215,RW,Leaf Y2-01,Count of the number of times the size of a leaf reflector is nearing its limit.,unsigned 16-bit integer,none,0.0,65535.0
7152,2426,216,R,Leaf Y2-01,Actual demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
7153,2426,218,R,Leaf Y2-01,Nominal calculated demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
7154,2426,219,R,Leaf Y2-01,Nominal calculated speed for dynamic moves.,signed 16-bit integer,10ths mms-1 at isocentre,-32768.0,32767.0
7155,2426,220,R,Leaf Y2-01,Current instantaneous positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
7156,2426,223,R,Leaf Y2-01,Averaged positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
7157,2426,227,R,Leaf Y2-01,Current positional tolerance.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
7158,2426,250,R,Leaf Y2-01,Distance to target position,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
7159,2426,254,R,Leaf Y2-01,The maximum value that the differential term inside the servo controller can reach.,signed 32-bit integer,gain in 1x10E-5,0.0,2147483647.0
7160,2426,255,R,Leaf Y2-01,The maximum value that the integral term inside the servo controller can build up to.,signed 32-bit integer,gain in 1x10E-5,0.0,2147483647.0
7161,2426,256,R,Leaf Y2-01,Maximum output value.,unsigned 16-bit integer,percent,0.0,100.0
7162,2426,257,R,Leaf Y2-01,An error will be raised by the servo controller if the difference between its setpoint and actual value is greater than this value.,signed 32-bit integer,micron at Leaf Bank,0.0,2147483647.0
7163,2426,300,R,Leaf Y2-01,The maximum velocity that can be achieved during a preplanned move.,unsigned 16-bit integer,100ths mms-1 at Leaf Bank,0.0,65535.0
7164,2426,301,R,Leaf Y2-01,The maximum rate of acceleration that can be achieved during a preplanned move.,unsigned 16-bit integer,100ths mms-2 at Leaf Bank,0.0,65535.0
7165,2426,302,R,Leaf Y2-01,Nominal distance between the leaf tip and the mechanical centre when a leaf is full extended and its dynamic leaf guide fully retracted.,signed 32-bit integer,micron at Leaf Bank,-2147483648.0,2147483647.0
7166,2426,308,R,Leaf Y2-01,Preloads the Integral term in the servo controller to compensate for a required offset in the output demand.,signed 32-bit integer,gain,0.0,2147483647.0
7167,2426,309,R,Leaf Y2-01,Outer limit for the servo controller deadband.,signed 32-bit integer,micron at Leaf Bank,0.0,2147483647.0
7168,2426,353,R,Leaf Y2-01,The current limit is set to its maximum for all output demand magnitudes less than or equal to the Stribeck Threshold.,unsigned 16-bit integer,percent,0.0,100.0
7169,2426,355,R,Leaf Y2-01,Y21 PCB Motor Drive Power Enable.,unsigned 8-bit integer,C boolean,0.0,1.0
7170,2426,368,R,Leaf Y2-01,Number of detected pixels in a leaf reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
7171,2426,387,R,Leaf Y2-01,TRUE when the servo controller monitors its closed loop performance.,unsigned 8-bit integer,C boolean,0.0,1.0
7172,2426,401,RW,Leaf Y2-01,Constant term in optics distortion polynomial.,signed 32-bit integer,gain,-2147483648.0,2147483647.0
7173,2426,404,R,Leaf Y2-01,Permits the disabling of an axis to be delayed when the servo controller moves out of open or closed loop control.,signed 32-bit integer,ms,0.0,2147483647.0
7174,2427,101,R,Leaf Y2-01,The position of the centre of the leaf reflector along its video line.,signed 16-bit integer,pixel/10,0.0,7679.0
7175,2427,107,RW,Leaf Y2-01,Gain used to convert calculated demand to motor to actual demand.,signed 16-bit integer,gain expressed as ratio of 2048,-32768.0,32767.0
7176,2427,111,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/100 at Leaf Bank,0.0,7679.0
7177,2427,112,RW,Leaf Y2-01,Step start position.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
7178,2427,113,RW,Leaf Y2-01,Step stop position.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
7179,2427,114,R,Leaf Y2-01,Error/Warning flags (active high): b0 - Out of position; b1 - Reflector not found.,unsigned 8-bit integer,flags,0.0,255.0
7180,2427,115,RW,Leaf Y2-01,Actual demand to motor.,signed 8-bit integer,motor demand,-128.0,127.0
7181,2427,121,R,Leaf Y2-01,Inner limit for the servo controller deadband.,signed 32-bit integer,micron at Leaf Bank,0.0,2147483647.0
7182,2427,122,R,Leaf Y2-01,Maximum output from the servo controller.,signed 32-bit integer,TBA,0.0,100.0
7183,2427,129,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/10 at isocentre,-2000.0,1500.0
7184,2427,133,R,Leaf Y2-01,Gain to convert pixels to microns.,signed 32-bit integer,gain in 1x10E-5,-2147483648.0,2147483647.0
7185,2427,136,R,Leaf Y2-01,"Compensates for a deadband in the drive chain (includes servo electronics, motor, stiction).",unsigned 16-bit integer,percent,0.0,100.0
7186,2427,137,R,Leaf Y2-01,"If the servo controller remains within its deadband for the specified timeout, then it is considered to be at its setpoint and may get disabled.",signed 32-bit integer,ms,0.0,2147483647.0
7187,2427,150,RW,Leaf Y2-01,Workflow set gain to adjust the radiation mapping.,signed 32-bit integer,TBA,-2147483648.0,-2147483648.0
