,Urgentie,Type,Machine,User,Storingsinfo,Status,Meldtijd,Lev.
,,,,,mosaiq is traag bij velden voorzetten,,,
,Acuut,,Linac1,JGS,LCD dose tijd 9.50 uur patient Duyan 1 na laatste veld,-,26/02/2019,0
,Acuut,,Linac3,CHT,Storing met: XVI,-,22/02/2019,0
,,,,,XVIPanel Long Fault. XVI opnieuw opgestart,,,
,NietAcuut,XVI,Linac3,PDB,"Storing met: Mosaiq, XVI",-,19/02/2019,0
,,Mosaiq,,,Bij meerdere patiënten valt de connectie met XVI weg. Gevolg: uit de patiënt in Mosaiq en XVI opnieuw geopend. Dan loopt de connectie wel. Gaan nu de XVI computer opnieuw opstarten.,,,
,Lange termijn,,Linac4,jhn,LCD Dose,-,19/02/2019,0
,NietAcuut,Versneller,Linac3,PDB,Storing met: Versneller,-,18/02/2019,0
,,,,,Bediening tafelhoogte m.b.v. hand held controle unit aan de kant van de gang (links als je binnen komt) reageert niet. Tafel omlaag met de bediening aan de tafel.,,,
,NietAcuut,XVI,Linac3,PDB,Storing met: XVI,-,18/02/2019,0
,,,,,Positie van het XVI paneel wordt niet geregistreerd. Paneel in en uit en in en uit schuiven totdat deze wel geregistreerd wordt.,,,
,NietAcuut,XVI,Linac2,PDB,Storing met: XVI,-,18/02/2019,0
,,,,,XVIPanel Long Fault. XVI opnieuw opstarten,,,
,NietAcuut,Versneller,Linac3,PDB,Storing met: Versneller,-,18/02/2019,0
,,,,,Table clutch. Tijdens een bestralingsveld. Patiënt van tafel naar een ander toestel. Versneller is om 14.50 weer beschikbaar voor bestraling.,,,
,NietAcuut,,Linac2,jhn,Toestel uitgevallen,-,18/02/2019,0
,In Pauze,,Linac2,MOK,er komt een tok geluid bij het draaien van de gantry met name tussen 290 en 300 cW,-,15/02/2019,0
,NietAcuut,,Linac3,jhn,storing lcd dose,-,14/02/2019,0
,Acuut,Versneller,Linac1,MAJ,Storing met: Versneller,-,12/02/2019,0
,,,,,"bij het aanzetten van de monitors in de bestralingsruimte na de pauze, knalt het toestel er uit",,,
,NietAcuut,XVI,Linac4,MVS,Storing met: XVI,-,11/02/2019,0
,,,,,Storing met: XVI Bij importeren data melding: Out Of memory allocating melding in XVI. We kunnen niet verder. XVI opnieuw opgestart,,,
,Acuut,XVI,Linac1,BBC,"Storing met: Versneller, XVI",In onderzoek. uit log files niks bijzonders te halen: JHN,11/02/2019,0
,,Versneller,,,"""SafeWait"" blijft in XVI scherm staan, er kan geen CBCT gemaakt worden.",,,
,Preventief,,Linac4,GEJ,XVI wil kV niet stralen. kV DCB. Vervolgens wil kV niet starten terwijl alles groen is in XVI.,-,07/02/2019,0
,Lange termijn,,Linac4,AVN,Linac valt uit into System On. Reset heeft het gefixt. Geen dosis error.,-,04/02/2019,0
,NietAcuut,,Linac2,LLB,LCD dose 8.45,-,04/02/2019,0
,Lange termijn,,Linac2,TOL,Linac into System On state. halverwege CBCT. XVI generator ook vast gelopen. Linac in service overeind gezet + restart van generator en xvi software.,-,01/02/2019,0
,Lange termijn,,Linac3,JGS,Linac into Closed State. Table Long error. Tafel verschoven en reset om te fixen.,-,01/02/2019,0
,NietAcuut,Mosaiq,Linac2,TOL,Storing met: Mosaiq,-,01/02/2019,0
,,,,,mosaiq is traag,,,
,Acuut,,Linac3,JGS,LCD dose,-,30/01/2019,0
,NietAcuut,XVI,Linac2,AVN,"Storing met: Versneller, XVI",-,25/01/2019,0
,,Versneller,,,"automated linac asu 2, CBCT deed het niet, alles opnieuw opgestart",,,
,NietAcuut,Mosaiq,Linac1,KSS,Storing met: Mosaiq,-,25/01/2019,0
,,,,,Mosaiq is erg langzaam,,,
,Acuut,Versneller,Linac3,INB,Storing met: Versneller,In onderzoek met elekta.,22/01/2019,0
,,,,,Versneller uitgevallen en ME niet goed geregistreerd,,,
,NietAcuut,Mosaiq,CT-SIM,TOL,Storing met: Mosaiq,-,18/01/2019,0
,,,,,mosaiq is traag op de VB en loopt vast,,,
,NietAcuut,Versneller,Linac1,KSS,Storing met: Versneller,-,18/01/2019,0
,,,,,"LCD dose melding. Op advies van Gerard Terminate, reset motors gedaan. Dit verhielp de boel",,,
,Acuut,Versneller,Linac4,MOK,Storing met: Versneller,-,14/01/2019,0
,,,,,toestel vliegt uit,,,
,NietAcuut,Versneller,Linac2,JEK,Storing met: Versneller,-,14/01/2019,0
,,,,,lcd dose,,,
,NietAcuut,Versneller,Linac3,EMS,Storing met: Versneller,-,11/01/2019,0
,,,,,Terminated fault.,,,
,NietAcuut,Versneller,Linac3,EMS,Storing met: Versneller,-,11/01/2019,0
,,,,,versneller valt uit midden in breathold veld.,,,
,Acuut,Versneller,Linac4,AVN,Storing met: Versneller,-,11/01/2019,0
,,,,,"versneller is spontaan uit gegaan! Na tafelverschuiving, voordat CBCT gestart is",,,
,NietAcuut,XVI,Linac3,EMS,Storing met: XVI,-,11/01/2019,0
,,,,,CBCT pakt small niet wanneer deze wel in de juiste stand staat. switchen medium small heeft geen zin,,,
,NietAcuut,XVI,Linac1,HIZ,Storing met: XVI,Deze blijven (herhaling)melden aub. Het is een “intern geheugen te klein” probleem. Dit komt voor als er meerdere plannen tegelijk naar het XVI station gestuurd wordt. oplossing = RAM vegroten,10/01/2019,0
,,,,,Bij binnenhalen in XVI 2 meldingen: -AVS field- alloc out of memory allocating.... bytes of field data - AVS Em field create error in AVSQ- comute function parameter -1 Daarna dat import was failed Downtime 5 min,,,
,Acuut,Versneller,Linac1,MKO,Storing met: Versneller,-,08/01/2019,0
,,,,,Versneller valt ineens uit.,,,
,NietAcuut,Mosaiq,Linac3,LVK,Storing met: Mosaiq,-,08/01/2019,0
,,,,,Mosaiq traag bij wisselen van CT veld naar eerste bestralingsveld.,,,
,Acuut,Versneller,Linac3,GEE,Storing met: Versneller,-,08/01/2019,0
,,,,,table clutch,,,
,NietAcuut,Mosaiq,Linac4,EMS,Storing met: Mosaiq,-,03/01/2019,0
,,,,,Mosaiq is traag met het openen van een patiënt. Meerdere malen yes retry gedaan. 8:00 en om 8:37,,,
,NietAcuut,XVI,Linac1,KSS,Storing met: XVI,In onderzoek. In onderzoek.,03/01/2019,0
,,,,,Bij het opwarmen van de röntgenbuis komt de storing kV enable dropped en wordt de warm up onderbroken. Bij opnieuw starten van warm up stopt deze na 1 frame. Scan maken lukt wel.,,,
,Acuut,Versneller,Linac1,AVN,Storing met: Versneller,-,24/12/2018,0
,,,,,linac gaat uit tijdens bestraling,,,
,NietAcuut,XVI,Linac3,PDB,Storing met: XVI,-,20/12/2018,0
,,,,,"Van M naar S filter schuiven lukt niet, het systeem ziet de S positie niet. Weer terug naar M iets ingeschoven en weer uitgeschoven. Daarna weer naar S. Lukt het uiteindelijk wel.",,,
,NietAcuut,XVI,Linac3,MVS,Storing met: XVI,-,20/12/2018,0
,,,,,Storing met: XVI CBCT CT valt deze week regelmatig uit met de melding: KV enabled dropped,,,
,NietAcuut,Versneller,Linac3,KSS,Storing met: Versneller,-,19/12/2018,0
,,,,,LCD dose.Melding geeft aan een dosis output verschil tussen software en hardware te zien.,,,
,NietAcuut,Versneller,Linac4,MAL,Storing met: Versneller,-,14/12/2018,0
,,,,,"Pedestal schiet soms in het rood terwijl hij gewoon goed staat, als je enkele seconden wacht wordt hij weer groen",,,
,Acuut,,Linac1,JGS,MLC motortjes doen het niet,-,05/12/2018,1
,Acuut,,Linac4,MOK,versneller valt uit,In onderzoek samen met elekta. Elekta verdenkt serial link hickup. Serial kabel LINAC1 vs LINAC2 omgewisseld tussen ICCA en RHCA,04/12/2018,0
,NietAcuut,Versneller,Linac4,JOM,Storing met: Versneller,-,28/11/2018,0
,,,,,LCD DOSE 11.08u,,,
,NietAcuut,Versneller,Linac2,PDB,"Storing met: Versneller, Overig",-,22/11/2018,0
,,Overig,,,Stoplicht voor de gang van de bunker staat uit. Geen verlichting. Versneller stopt wel als je te vroeg naar binnen loopt.,,,
,NietAcuut,XVI,Linac1,LVK,"Storing met: Versneller, XVI",-,15/11/2018,0
,,Versneller,,,"Bij het draaien van de CBCT gaat het XVI paneel soms uit de Small-positie, waardoor we weer naar binnen moeten. Dit is gisteren 2x gebeurd en vandaag ook al 1x.",,,
,NietAcuut,XVI,Linac1,MAJ,Storing met: XVI,-,09/11/2018,0
,,,,,cbct stopt: melding frame time-out,,,
,NietAcuut,XVI,Linac1,LVK,Storing met: XVI,-,06/11/2018,0
,,,,,XVI sloeg af bij een rectumpatiënt met de melding kV DCB.,,,
,NietAcuut,Versneller,Linac1,LVK,Storing met: Versneller,-,31/10/2018,0
,,,,,Nu bij 2 VMAT patiënten gehad dat het toestel tussendoor afsloeg. Laatste keer de melding Hump error.,,,
,NietAcuut,XVI,Linac1,MAJ,Storing met: XVI,-,26/10/2018,0
,,,,,CBCT CT valt deze week regelmatig uit met de melding: KV enabled dropped,,,
,NietAcuut,Overig,Linac2,KSS,Storing met: Overig,-,22/10/2018,0
,,,,,2e Beeldscherm van RTws2 knippert (waarschijnlijk door probleem in voeding/schakelkastje aldus HN),,,
,Acuut,Versneller,Linac1,JHN,Storing met: Versneller,-,18/10/2018,1
,,,,,Kop Stuk gerepareerd,,,
,NietAcuut,XVI,Linac3,KSS,Storing met: XVI,-,10/10/2018,0
,,,,,XVI geeft melding Failed to send parameters to desktop XVI opnieuw opstarten verhelpt het probleem. Prntscreen in Screendumps vanaf Linac (L3storing XVI desktop),,,
,NietAcuut,XVI,Linac3,KSS,"Storing met: Versneller, Mosaiq, XVI",-,10/10/2018,0
,,Mosaiq,,,"XVI komt met melding ""kV enable dropped"" en breekt het maken van de scan af.",,,
,,Versneller,,,,,,
,NietAcuut,Versneller,Linac4,JOM,Storing met: Versneller,-,09/10/2018,0
,,,,,9.02: reset requiered 2TI..? error,,,
,NietAcuut,Versneller,Linac4,JEK,Storing met: Versneller,-,02/10/2018,0
,,,,,melding: 2TI ctrl,,,
,NietAcuut,Versneller,Linac4,JOM,Storing met: Versneller,-,01/10/2018,0
,,,,,reset required bij 2 verschillende patienten 2T 1 ctrl error,,,
,Acuut,Versneller,Linac1,AVN,Storing met: Versneller,Bending overtemp. Deze grote storing wordt samen met Elekta verholpen 01-10-2018 tm plusminus 02-10-2018,01/10/2018,0
,,,,,versneller gaat spontaan uit! Bending overtemp.,,,
,Acuut,,Linac3,AVN,Linac is spontaan uitgegaan nadat patient klaar was,-,28/09/2018,0
,NietAcuut,XVI,Linac2,ANB,Storing met: XVI,In onderzoek. kijk er woensdag 2 oktober verder naar JHN,27/09/2018,0
,,,,,Er lijkt een ringartefact in de CBCT te zitten,,,
,NietAcuut,Versneller,Linac2,ANB,Storing met: Versneller,-,11/09/2018,0
,,,,,"Melding al eerder gedaan; bij uitschuiven EPI-paneel, doet hij eerst een hele tijd niks voordat hij daadwerkelijk gaat uitschuiven",,,
,NietAcuut,XVI,Linac2,ANB,Storing met: XVI,-,11/09/2018,0
,,,,,"Bij starten CBCT geeft XVI de melding ""automatic Linac ASU"". Enkel bij opnieuw opstarten XVI kun je verder met het maken van een CBCT",,,
,NietAcuut,Overig,Linac2,AVN,Storing met: Overig,-,10/09/2018,0
,,,,,Groene stoplichtlampje is stuk.,,,
,Acuut,XVI,Linac4,PDB,Storing met: XVI,-,03/09/2018,0
,,,,,CB slaat te vroeg af. Geen goed beeld om te matchen.,,,
,NietAcuut,XVI,Linac4,PDB,Storing met: XVI,-,03/09/2018,0
,,,,,"Tijdens het maken van de CB stopt het systeem. Geeft aan dat ""enable to acquire ..... iets met gantry"". Soms is het beeld nog wel te gebruiken voor de match. Afhankelijk wanneer het paneel gestopt is met de opname. 2 keer achter elkaar.",,,
,NietAcuut,Versneller,Linac1,GEE,Storing met: Versneller,-,31/08/2018,0
,,,,,"Nu tot 3 x toe een reset moeten geven, reden onbekend. Gebeurde 3x toen de tafel helemaal naar benden stond. Na reset gewoon weer verder. Ook het verschuiven van het XVI paneel van stand S naar M gaat niet soepel. ( in stukjes)",,,
,NietAcuut,Versneller,Linac2,ANB,Storing met: Versneller,-,28/08/2018,0
,,,,,"Bij opstarten linac: bij het uitschuiven van het EPI-paneel duurt het lang voordat hij daadwerkelijk uitschuift, hij maakt wel het ""geluid"" alsof hij aan het uitschuiven is.",,,
,NietAcuut,Versneller,Linac4,PDB,Storing met: Versneller,-,27/08/2018,0
,,,,,2 TL contr. om 9.51 Reset required,,,
,NietAcuut,Overig,Linac2,MAJ,Storing met: Overig,-,17/08/2018,0
,,,,,"epipaneel wil na het opstarten met de handbediening niet meer automatisch terugschuiven, daarom handmatig naar binnen geschoven",,,
,NietAcuut,XVI,Linac4,PDB,Storing met: XVI,Actie bij volgend onderhoud.,10/08/2018,0
,,,,,"De buis herkent het S20 diafragma niet. Naar binnen, en het diafragma er uit en er weer in gedaan.",,,
,NietAcuut,,Linac1,LLB,Hump Error,-,10/08/2018,0
,NietAcuut,Versneller,Linac1,INB,Storing met: Versneller,-,07/08/2018,0
,,,,,communication failure tussen XVI en versneller.,,,
,Acuut,Versneller,Linac1,INB,Storing met: Versneller,-,03/08/2018,0
,,,,,MV DCB,,,
,NietAcuut,Versneller,Linac1,INB,Storing met: Versneller,-,02/08/2018,0
,,,,,Dose rate mon + reset required,,,
,NietAcuut,Versneller,Linac4,JOM,Storing met: Versneller,-,31/07/2018,0
,,,,,"2T i, reset required 13.30 Vmat",,,
,NietAcuut,Overig,Linac2,MOK,Storing met: Overig,-,31/07/2018,0
,,,,,camera op gantry flikkert bij hoek tussen 90 en 180 graden,,,
,NietAcuut,Versneller,Linac1,INV,Storing met: Versneller,-,30/07/2018,0
,,,,,Hump err.,,,
,NietAcuut,XVI,Linac4,PDB,Storing met: XVI,-,30/07/2018,0
,,,,,XVI paneel schuift niet uit. Reset XVI en theraview achter de gantry,,,
,Preventief,,Linac4,HED,11:05 storing: HT con K gebeurde spontaan voor een segment tijdens de bestraling. We konden daarna gewoon verder.,-,26/07/2018,0
,Preventief,,Linac4,HED,Om 11:20 storing 2T I ctrl na reset verder kunnen stralen,-,24/07/2018,0
,Acuut,,Linac4,JGS,gunstuk,-,17/07/2018,0
,NietAcuut,,Linac4,KIC,2T ERR 2x achter elkaar,-,17/07/2018,0
,NietAcuut,,Linac4,KIC,HT con K,-,10/07/2018,0
,NietAcuut,XVI,Linac4,KIC,Storing met: XVI,XIM bord besteld bij elekta,09/07/2018,0
,,,,,afgeslagen tijdens het maken van de CBCT,,,
,NietAcuut,Versneller,Linac4,PDB,Storing met: Versneller,-,09/07/2018,0
,,,,,HT C.B.,,,
,NietAcuut,XVI,Linac4,PDB,Storing met: XVI,In onderzoek. al meerder actie geprobeerd maar nog zonder resulaten helaas,02/07/2018,0
,,,,,CB stopt uit zich zelf tijdens het maken van de CB. Ergens halverwege.,,,
,In Pauze,,Linac1,HDV,"Tafel is moeilijk (gaat zwaar) te verplaatsen wanneer tafel in Y richting los gezet wordt. Met zware patiënt erop, zeer zwaar.",zodra we er tijd voor krijgen pakken we het op is volle dag werk dus moet toestel een dagje dicht,28/06/2018,0
,NietAcuut,Versneller,Linac4,KSS,Storing met: Versneller,In onderzoek.,28/06/2018,0
,,,,,"Wanneer linac van 0 naar 45graden draait piept hij rondom 40. Bij Vmat (meestal) niet, CBCT en met handheld wel (vaak)",,,
,Lange termijn,,Linac4,GEJ,CBCT STOPT TUSSENTIJDS; 9.29 VENEMA-VERMAAS 10.50 BLOODSHOOFD 11.45 WOLTERS 11.20 VOORBIJ,In onderzoek.,26/06/2018,0
,Preventief,,Linac1,ANB,MLC hingen bij opstarten. Onder de blokken bleven de leafs stil staan. Reset Required loste het op.,-,26/06/2018,0
,Preventief,,Linac2,AND,XVI kV panel long richting deed het niet meer. Lateraal wel.,-,15/06/2018,0
,Lange termijn,LCS,Linac4,HPW,Icom link linac spontaan uitgevallen bij bundel 9 van 11.,-,14/06/2018,0
,,Versneller,,,,,,
,NietAcuut,XVI,Linac4,HPW,Storing met: XVI,-,13/06/2018,0
,,,,,"Bij 2 pat. vandaag gehad dat de cbct geinterrupt was, maar niet die knop ingedrukt???",,,
,NietAcuut,XVI,Linac4,HPW,Storing met: XVI,-,13/06/2018,0
,,,,,"2 x cbct mislukt, xvi opnieuw opgestart.",,,
,NietAcuut,Versneller,Linac3,GEE,Storing met: Versneller,-,13/06/2018,0
,,,,,kV-buis schuift zwaar uit in vergelijking met de andere toestellen. Drupje olie??,,,
,Preventief,Mosaiq,Linac2,BBC,"Storing met: Versneller, Mosaiq",Bundels kwamen ook traag op in de linac. iCom/netwerk verdacht. Alle computers + NSS box uitgezet en opgestart,04/06/2018,0
,,Versneller,,,"Mosaiq geeft aan dat er een fout is met de ""ATM connectie"". De A-priori verschuiving is daardoor niet uit te voeren. Mosaiq opnieuw opstarten helpt soms, LCS opnieuw inloggen ook. Probleem heeft zich vanaf maandag (4-6) ongeveer 5 keer voorgedaan.",,,
,Acuut,Versneller,Linac1,KSS,Storing met: Versneller,-,04/06/2018,0
,,,,,"Park MLC 1,2,3,4",,,
,NietAcuut,Theraview,Linac1,KSS,Storing met: Theraview,-,01/06/2018,0
,,,,,Op bureaublad screenshot opgeslagen. Theraview geeft aan de bundelhoek niet te kunnen controleren.,,,
,NietAcuut,Versneller,Linac3,PDB,"Storing met: Versneller, Overig",-,31/05/2018,0
,,Overig,,,Op 17-5 gemeld dat het tafelblad piept als deze in de lengte wordt verschoven. Dit is tot op heden nog steeds het geval.,,,
,NietAcuut,Versneller,Linac4,EMS,Storing met: Versneller,-,30/05/2018,0
,,,,,"dose rate mon. Resetknop pakte hij niet goed, meerdere malen geprobeerd.",,,
,Acuut,Versneller,Linac1,MOK,dose rate,-,29/05/2018,1
,Acuut,,Linac4,jhn,gantry fine potmeter defect,-,29/05/2018,1
,Preventief,,Linac4,GEE,XVI paneel wil niet schuiven. Is deze week al +/- 3x gebeurd en gereset.,In onderzoek.,25/05/2018,0
,NietAcuut,XVI,Linac1,LLB,Storing met: XVI,-,24/05/2018,0
,,,,,"XVI detecteerde een fout en sloot zichzelf af, tijdens een CBCT maken.",,,
,NietAcuut,Versneller,Linac1,LVK,Storing met: Versneller,-,24/05/2018,0
,,,,,Hump error (209 graden).,,,
,NietAcuut,Versneller,Linac1,JOS,Storing met: Versneller,Afspraak met leverancier staat. 6 juni komt Elekta hiervoor.,24/05/2018,0
,,,,,De linac 1 maakt veel meer lawaai tijdens het stralen dan de linac 2 en 3 (volgens patient). Patient wil zelfs liever niet mer op de L1 bestraald worden. Via de intercom is het lawaai ook meer.,,,
,NietAcuut,,Linac3,jhn,iview switch defect,-,22/05/2018,0
,NietAcuut,Versneller,Linac4,GEE,Storing met: Versneller,-,18/05/2018,0
,,,,,Terminated Fault 10x voorgekomen op 18-5-2018,,,
,NietAcuut,XVI,Linac2,ANB,"Storing met: Mosaiq, XVI",-,17/05/2018,0
,,Mosaiq,,,XVI lijkt CBCTs niet goed door te sturen naar MQ. Matcht niet met Pinnacle CT,,,
,NietAcuut,XVI,Linac4,KYV,Storing met: XVI,-,17/05/2018,0
,,,,,Filter F1 wordt rood bij het draaien van de gantry. Niet goed contact?,,,
,NietAcuut,Versneller,Linac4,MAS,Storing met: Versneller,-,17/05/2018,0
,,,,,reset require nodig.,,,
,Acuut,Iview,Linac2,MOK,cbct stopt tijdens draaien alsof er een botsing is,-,09/05/2018,0
,NietAcuut,XVI,Linac4,GEE,Storing met: XVI,Actie bij volgend onderhoud.,08/05/2018,0
,,,,,"Cone Beam slaat af midden in de scan, kV enabled droped. Ook leest hij Soms filter F1 F0 niet. F1 zit er altijd in maar dan sprint hij soms ineens naar F0 zonder dat we aan dat filter hebben gezeten.",,,
,NietAcuut,XVI,Linac1,AVN,"Storing met: Versneller, XVI",-,07/05/2018,0
,,Versneller,,,unable to clear...,,,
,NietAcuut,XVI,Linac4,MAL,"Storing met: Versneller, Mosaiq, XVI",-,03/05/2018,0
,,Mosaiq,,,"Na het doorsturen van de verschuiving van XVI naar Mosaiq geeft de versneller de volgende fout melding. ""missing id. in XVI komt de melding dat xvi de resultation van de match niet kan doorsturen. Dit gebeurt echter wel. Maar dan geeft Mosaiq foutmeldinge",,,
,,Versneller,,,,,,
,NietAcuut,XVI,Linac3,BBC,"Storing met: Versneller, XVI",Afspraak met leverancier staat. Actie bij volgend onderhoud.,02/05/2018,0
,,Versneller,,,"Aanwezigheid M20 filter wordt niet altijd geregistreerd door versneller / XVI. M20 filter is enige met dit probleem, over een aantal dagen meerdere keren voorgekomen.",,,
,NietAcuut,Versneller,Linac4,MOK,Storing met: Versneller,In onderzoek.,01/05/2018,0
,,,,,"4 x per dag ""dose rat mon""",,,
,Acuut,XVI,Linac3,EMS,"Storing met: Versneller, XVI",-,01/05/2018,0
,,Versneller,,,XVI melding van automated linac asu 1 met fault 33,,,
,Acuut,Mosaiq,Linac2,MAJ,"Storing met: Versneller, Mosaiq",-,27/04/2018,0
,,Versneller,,,communication error,,,
,Preventief,,Linac1,MKO,Vrijdag hadden we na een XVI reboot weer die vage blokken en strepen in het beeldscherm (bureaublad+muis). Zelfde issue als rond 27-01-2017. Mogelijk hebben we dus weer brak RAM geheugen. Mocht dit weer optreden dan moeten we hier weer achteraan.,-,20/04/2018,0
,NietAcuut,XVI,Linac4,GDV,Storing met: XVI,Actie bij volgend onderhoud.,19/04/2018,0
,,,,,"Het XVI-paneel verliest vaak zijn positie. Eerst geeft hij aan dat hij goed staat en daarna geeft hij hem weer rood. de XVI-arm wil niet goed in zijn uiterste stand staan, waardoor die vaak niet vrijgegeven wordt.",,,
,Acuut,XVI,Linac4,MOK,"Storing met: Versneller, Mosaiq, XVI",-,17/04/2018,0
,,Mosaiq,,,"CMA wil de tafel niet verschuiven. CMA venster komt wel voor, maar de tafel beweegt niet.",,,
,,Versneller,,,,,,
,Acuut,Versneller,Linac4,GEJ,Storing met: Versneller,-,17/04/2018,0
,,Mosaiq,,,Dose rate Mon error,,,
,NietAcuut,XVI,Linac1,LLB,Storing met: XVI,-,09/04/2018,0
,,Mosaiq,,,Diverse storingsmeldingen gedurende de ochtend. Waaronder : XVI cannot start the image acquisition as the treatment control system is not in the correct machine state. Ook is er bij een patient geen 3D plaatje gekomen terwijl alles verder goed stond.,,,
,NietAcuut,Versneller,Linac2,JOM,Storing met: Versneller,-,09/04/2018,0
,,Tafel,,,"de tafelbedieningen bij de tafel zitten erg los, dit werkt niet zo fijn",,,
,NietAcuut,XVI,Linac4,MAJ,Storing met: XVI,-,06/04/2018,0
,,,,,xvi paneel kan niet uitgeschoven worden,,,
,Acuut,Versneller,Linac3,PDB,Storing met: Versneller,-,05/04/2018,0
,,,,,Hump error na 19 ME,,,
,NietAcuut,XVI,Linac3,HIZ,Storing met: XVI,-,03/04/2018,0
,,,,,No query message information was found from XVI,,,
,NietAcuut,XVI,Linac3,JOS,Storing met: XVI,-,30/03/2018,0
,,,,,toetsenbord doet het niet.,,,
,NietAcuut,XVI,Linac4,KSS,Storing met: XVI,-,29/03/2018,0
,,,,,XVI paneel & Buis rammelen zo hard dat hij denkt te botsen... tijdens Vmat,,,
,NietAcuut,Versneller,Linac1,HDV,3x reset required bij tafel loszetten (bij patiënt op en van tafel halen. Met veel tussentijd.,-,28/03/2018,0
,NietAcuut,Versneller,Linac4,GEJ,"Storing met: Versneller, Overig",-,26/03/2018,0
,,Overig,,,Knoppen van bedieningspaneel(starten/stop) versneller zijn alweer beschadigd....geen actie van onjuist gebruik maar spontaan weer beschadigd. De beschermlaag lijkt los te laten.,,,
,NietAcuut,,Linac1,jhn,Load reference data failed to transmit vanaf RTws1e,-,26/03/2018,0
,NietAcuut,XVI,Linac1,LLB,Storing met: XVI,-,26/03/2018,0
,,,,,Communication failer between Mosaiq en XVI Na de vorige melding,,,
,NietAcuut,XVI,Linac1,LLB,"Storing met: Mosaiq, XVI",-,26/03/2018,0
,,Mosaiq,,,"XVI returned an error , could not retrieve message, messaging system failure Gebeurt vaker bij een SABR (na de 1e CBCT)en voor de 2e CBCT",,,
,NietAcuut,,Linac3,JGS,Tafel longitudinale beweging rem weigert af en toe Kappen faciawand.,Actie bij volgend onderhoud.,23/03/2018,0
,NietAcuut,Versneller,Linac3,MAJ,Storing met: Versneller,-,23/03/2018,0
,,,,,"behandeltafel: knopje tafel lengte stond los, maar de tafel zelf stond nog vast",,,
,NietAcuut,Mosaiq,Linac3,MAJ,Storing met: Mosaiq,-,23/03/2018,0
,,,,,Error mosaiq opnieuw opstarten. bij patiënt: 0459127,,,
,NietAcuut,XVI,Linac3,MAP,"Storing met: Mosaiq, XVI",-,21/03/2018,0
,,Mosaiq,,,2 meldingen: no data received van XVI connection failed,,,
,Acuut,Versneller,Linac4,HPW,Storing met: Versneller,-,21/03/2018,0
,,,,,"asu doet het niet. lateraal verplaatsen van tafel lukt niet. resetten helpt even, maar na tijdje doet ie het niet meer. Zowel handbediening als aan de tafel.",,,
,Acuut,Versneller,Linac1,JOS,Storing met: Versneller,-,20/03/2018,0
,,,,,leaf pair missing,,,
,NietAcuut,,Linac1,HED,2:05 (tijd op xvi computer) unable to clear xvi inhibit,In onderzoek. Log files aan het doornemen JHN,16/03/2018,0
,NietAcuut,Versneller,Linac3,JOM,Storing met: Versneller,Actie bij volgend onderhoud.,16/03/2018,0
,,,,,panelen maken geluid als ze langs de achterwand schuren bij cw 290º en 95ºen ccw bij gantry 310º en 215º,,,
,NietAcuut,Mosaiq,Linac3,LLB,Storing met: Mosaiq,-,16/03/2018,0
,,,,,mosaiq error reporting system (9.22),,,
,NietAcuut,XVI,Linac2,ANB,Storing met: XVI,In onderzoek.,16/03/2018,0
,,,,,"CBCT kon niet gestart worden. Eerst selecteerde hij de patiënt wel, maar kwam niet automatisch op. Daarna gaf hij automatic Linac ASU, waardoor we alsnog niet konden starten. XVI moest opnieuw opgestart worden. Patiënt lag hierdoor",,,
,NietAcuut,XVI,Linac2,ANB,Storing met: XVI,-,16/03/2018,0
,,,,,"Bij het maken van een CBCT bij BH-patiënt (5832452) zoals gebruikelijk de scan interrupt op ong. 0 graden. We konden echter de rest van de scan niet afmaken, omdat XVI al met een plaatje op kwam.",,,
,NietAcuut,,Linac4,HDV,"""No query information received from XVI"" 11.07u. ""No image acquisition date selection information received"" 11:23u, 13:05u, 13:40u. ""Communication error (XVI) en Xvi is offline or busy (MQ): 11.43u.",-,15/03/2018,0
,NietAcuut,Versneller,Linac3,LLB,Storing met: Versneller,-,14/03/2018,0
,,,,,loszet knop van de tafel doet het niet,,,
,Acuut,,Linac1,HED,"2x foutmelding gekregen tijdens het maken van een CBCT. Daardoor CBCT opnieuw moeten maken. Tijd 16:05, printscreen is niet gelukt gaf een foutmelding in paint... Ook nog steeds erg vaak de foutmelding unable to clear XVI inhibit.",-,09/03/2018,0
,NietAcuut,XVI,Linac4,ANR,Storing met: XVI,-,09/03/2018,0
,,,,,Soms verdwijnt een patient die ook een oude serie heeft gehad spontaan naar hidden. De verbinding wordt dan niet gelegd tussen mosaiq en XVI. Op 9-3-2018 linac 4 bij mw van Dort kwam dit voor. dit probleem doet zich vaker voor.,,,
,NietAcuut,Versneller,Linac4,MAE,Storing met: Versneller,-,06/03/2018,0
,,,,,Tubus maakt niet altijd connectie. Door een duwtje tegen de tubus schiet ie weer in het piepje alsof de tubus niet goed vast zit.,,,
,NietAcuut,XVI,Linac4,GDV,"Storing met: Mosaiq, XVI",-,05/03/2018,0
,,Mosaiq,,,Na het maken van een CBCT lukte het niet op de verschuiving naar Mosaiq door te sturen. Uiteindelijk handmatig de verschuiving uitgevoerd. CBCT vervolgens ook (logischerwijs naar Mosaiq gestuurd).,,,
