Item name,Category,Description,Data type,Range,Resolution,Units,Service page(s),System(s),See 
i366 - Dose channel difference,Dose Diff,The value of this item is calculated by FACILITY 2 from the monitored segment MU. Limits can be set to cause termination.,Not available,-100.0 to +100.0,Not available,MU,Edit Machine Item Part,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1
,,,,,,,,,4513 330 7048 - sheet 2
i367 - Beam Timer ,Beam T mon,This item indicates the expected time for each steps and adds 20% and increments the total set accordingly.,Not available,0.1 - 30.0 Minutes,0.1 min,min,Dose calibration,Power Supplies and Interlocks [Ref: 5],Not available
,,,,,,,,Dosimetry [Ref: 9],
i368 - Segment index,Seg index,"This item is used as the primary synchronization within FACILITY 1 for all multi-segment therapies. It is encoded with the most significant byte having the same value as the treatment technique item (i9) and the least significant byte being the segment number: 1, 2, 3.",Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Not available
i369 - Slit sample width,Slt smpl W,This item controls the gun aim level for servo operation. The item is not used when the digital accelerator is fitted with a slitless flight tube and a hardware gun servo.,Not available,0 to 4095,Not available,Not available,Only appears on the Gun Servo service page for digital accelerators fitted with a slitted flight tube,HT and RF [Ref: 7],Not available
i370 - Linac ASU ,Linac ASU,This item indicates whether an ASU demand originates from the FKP or the HHC. Where:,Integer,Not available,Integer,Not available,"ASU, System Test 1",Movements [Ref: 6],Ref 14: 4513 330 7034 - sheet 1
,,A non-zero value in the most significant byte indicates that the demand originates at the HHC,,,,,,,4513 330 7047 - sheet 1
,,A non-zero value in the least significant byte indicates that the demand originates at the FKP,,,,,,,4513 330 7063
,,,,,,,,,4513 330 7065
,,,,,,,,,4513 330 7062
,,,,,,,,,4513 330 7064
i371 - Remote monitoring enable,Remote Mon,This item indicates whether remote monitoring is enabled.,Boolean,0 Remote monitoring disabled,Integer,None,Edit Machine Item Part,Not available,Not available
,,,,1 Remote monitoring enabled,,,,,
i371 - Dry run ,Dry run,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i372 - Select Y diaphragm function,Slct Y dia,This item selects the function to be controlled by Y diaphragm demand i354.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Beam Limiting Devices [Ref: 12],Not available
i373 - Select X diaphragm function,Slct X dia,This item selects the function to be controlled by X diaphragm demand i353.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Beam Limiting Devices [Ref: 12],Not available
i374 - Speed reference,Speed ref,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i375 - Movement speed,Move speed,This item reflects the dose rate for radiation segments or the required setting (a pseudo dose rate) in the case of move only segments. The item is used to calculate the feed-forward term to the motor speed.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7034 - sheet 1
,,,,,,,,, 4513 330 7047 - sheet 1
i376 - High power OK,Hi powr OK,This item shows whether the HIGH/LOW power selection contactors have correctly selected HIGH power.,Boolean,0 High power Off,Integer,None,Area status,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,1 High power On,,,,HT and RF [Ref: 7],
i377 - Low power OK,Lo powr OK,This item shows whether the HIGH/LOW power selection contactors have correctly selected LOW power.,Boolean,0 Low power Off,Integer,None,Area status,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,1 Low power On,,,,HT and RF [Ref: 7],
i378 - Test receive,Tst RX itm,Used by the service test routine Be3001.,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i379 - Test transmit,Tst TX itm,Used by the service test routine Be3001.,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i380 - Gun standby current,Gun stby I,This item controls the electron gun standby current level.,Not available,0.00 A to 9.00 A,0.01 A,A,"Beam Control, Gun Servo",HT and RF [Ref: 7],Ref 14: 4513 330 7088 - sheet 2
i381 - Gun aim current,Gun aim I,This item controls the electron gun aim current level for servo operation.,Not available,Not available,0.01 A,A,"Beam Control, Gun Servo",HT and RF [Ref: 7],Not available
i382 - Facility 1 status,Fac 1 stat,This item indicates the state of the interface software in processor 1. ,Not available,"0 to 3, see Table T",Not available,Not available,Edit Machine Item Part,Not available,Not available
,,"The suspended state is transitory, resulting in a suspend acknowledge and return to normal running or a shutdown. A shut down is reset by the TCC fault reset keyswitch i23.",,,,,,,
i383 - Interlock group,I/lock grp,"This item selects and indicates the current interlock group. Use of this item allows the operator to override groups of interlocks, or change the action in case an interlock is violated.",Not available,See Table U,Not available,Not available,LV PSU,Power Supplies and Interlocks [Ref: 5],Not available
i384 - Bending magnet voltage,Bend Mag V,"This item monitors the bending magnet voltage across all coils, allowing a continuous check on the coil resistance.",Not available,Not available,0.01 V,V,System Test 1,Beam Physics [Ref: 8],Ref 14: 4513 330 7024 - sheet 1
i385 - Accessory bit 0,Acsy bit 0,This item is an analog channel used as a binary code (bit 0) in part of a 2-bit accessory type decoding. The resultant code is i40.,Not available,Not available,Not available,Not available,FKP,Accessories [Ref: 11],Ref 14: 4513 330 7036 - sheet 1
i386 - Accessory bit 1,Acsy bit 1,This item is an analog channel used as a binary code (bit 1) in part of a 2-bit accessory type decoding. The resultant code is i40.,Not available,Not available,Not available,Not available,FKP,Accessories [Ref: 11],Ref 14: 4513 330 7036 - sheet 1
i388 - Applicator code 2,Appl code2,This item shows the voltage from the applicator coding DAC 2. The value is processed into the variable applicator trimmers coding.,Not available,Not available,Not available,Not available,FKP,Accessories [Ref: 11],Not available
i389 - Magnetron flow switch,Mag Fl sw,This item indicates whether there is sufficient water flow in the magnetron cooling circuit. It reads the state of the flow switch in the circuit. The item switches off the LT if the flow rate is less than 18 l/min.,Boolean,0 Water flow OK,Integer,None,Modulator,Power Supplies and Interlocks [Ref: 5],4513 330 7021 - sheet 1
,,,,1 Water flow fault,,,,"Cooling, Gas and Vacuum",4513 330 7044
,,,,,,,,[Ref: 4],
i390 - ICCA AO8 monitor,IC AO8 mon,This item allows monitoring of one of the eight analog output channels of the AO8 PCB in the ICCA. The monitored output is selected by i408.,Not available,Not available,Integer,Not available,Multiplexers,System Communications [Ref: 2],Ref 14: 4513 330 7062
,,,,,,,,,4513 330 7064
,,,,,,,,,4513 330 7063
,,,,,,,,,4513 330 7065
i391 - HTCA AO8 monitor,HT AO8 mon,This item allows monitoring of one of the eight analog output channels of the AO8 PCB in the HTCA. The monitored output is selected by i409.,Not available,Not available,Integer,Not available,Multiplexers,System Communications [Ref: 2],"4513 330 7025 - sheet 3, 4"
,,,,,,,,Beam Physics [Ref: 8],4513 330 7027 - sheet 1
,,,,,,,,HT and RF [Ref: 7],
i392 - RHCA AO8 monitor,RH AO8 mon,This item allows monitoring of one of the eight analog output channels of the AO8 PCB in the RHCA. The monitored output is selected by i410.,Not available,Not available,Integer,Not available,Multiplexers,System Communications [Ref: 2],Not available
i393 - HTCA AO12 monitor,HT AO12mon,"This item allows monitoring of the control outputs from an AO12 PCB. By using i416, the monitor can be applied to each of the 12 output channels.",Not available,Not available,Integer,Not available,Multiplexers,System Communications [Ref: 2],4513 330 7088 - sheet 1
,,,,,,,,Beam Physics [Ref: 8],
,,,,,,,,HT and RF [Ref: 7],
i394 - AO12 monitor,RH AO12mon,This item allows monitoring of a selected control output from the AO12 PCB in the RHCA. The item selects one of the 12 output channels to be monitored.,Not available,Not available,Not available,Not available,Multiplexers,System Communications [Ref: 2],Ref 14: 4513 330 7024 - sheet 1
,,,,,,,,Beam Physics [Ref: 8],4513 330 7028 - sheet 1
,,,,,,,,HT and RF [Ref: 7],"4513 330 7026 - sheet 1, 2"
i395 - Gantry current,Gantry I,This item monitors the gantry motor current.,Not available,Not available,Integer,Not available,Edit Machine Item Part,,Ref 14: 4513 330 7047 - sheet 1
i396 - Magnetron tuner current monitor,Tuner I,This item monitors the current of the magnetron tuner motor.,Not available,Not available,1 A,A,Edit Machine Item Part,HT and RF [Ref: 7],Not available
i397 - Diaphragm rotation current monitor,Drot I,This item monitors the current of the beam limiting device diaphragm motor.,Not available,Not available,1 A,A,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7034 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i398 - Focus 1 voltage,Focus 1 V,This item monitors the voltage across the focus 1 coils.,Integer,Not available,0.01 V,V,"LV PSU, System Test 1",Power Supplies and Interlocks [Ref: 5],"Ref 14: 4513 330 7026 - sheet 1, 2"
,,,,,,,,Beam Physics [Ref: 8],
i399 - Focus 2 voltage,Focus 2 V,This item monitors the voltage across the focus 2 coils.,Not available,Not available,0.01 V,V,"LV PSU, System Test 1",Power Supplies and Interlocks [Ref: 5],"Ref 14: 4513 330 7026 - sheet 1, 2"
,,,,,,,,Beam Physics [Ref: 8],
i400 - Contactor CON-A set,Con A set,"This item controls main three-phase contactor CON-A, directly energizing the water pump and providing feed to the other three-phase contactors. It is part of the main interlock chain.",Boolean,0 CON A Off,Integer,None,Contactors,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7051 
,,,,1 CON A On,,,,,
i401 - Contactor CON-B set,Con B set,This item controls power supply contactor CON-B. It is part of the movements interlock chain.,Boolean,0 CON B Off,Integer,None,Contactors,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7053 - sheet 2
,,,,1  CON B On,,,,,
i402 - Contactor CON-C set,Con C set,This item controls power supply contactor CON-C. It is part of the movements interlock chain.,Boolean,0 CON C Off,Integer,None,Contactors,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7053 - sheet 2
,,,,1 CON C On,,,,,
i403 - RHCA AO12 PCB enable,RH AO12 en,Enables and disables the analog output of the AO12 PCB in the RHCA.,Boolean,0 RHCA AO12 PCB disabled,Integer,None,Edit Machine Item Part,System Communications [Ref: 2],Not available
,,,,1 RHCA AO12 PCB enabled,,,,,
i404 - HTCA AO12 PCB enable,HT AO12 en,Enables and disables the analog output of the AO12 PCB in the HTCA.,Boolean,0 HTCA AO12 PCB disabled,Integer,None,Edit Machine Item Part,System Communications [Ref: 2],Not available
,,,,1 HTCA AO12 PCB enabled,,,,,
i405 - Contactor CON-F set,Con F set,This item enables LT contactor CON-F.,Boolean,0 CON-F Off,Integer,None,Contactors,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7052 - sheet 1
,,,,1 CON-F On,,,,,
i407 - Precise Table free demand,PSS fr dem,Not available.,Not available,Not available,Integer,Not available,Edit Machine Item Part,Precise Table,Not available
i408 - ICCA AO8 PCB output multiplexer channel select,IC AO8 mux,This item selects the output channel of the AO8 PCB in the ICCA to be monitored as i390.,Boolean,"0 to 7, see Table V",Not available,Not available,Multiplexers,System Communications [Ref: 2],4513 330 7062
,,,,,,,,Movements [Ref: 6],4513 330 7064
,,,,,,,,,4513 330 7063
,,,,,,,,,4513 330 7065
i409 - HTCA AO8 PCB output multiplexer channel select,HT AO8 mux,This item selects the channel number to be monitored on the AO8 PCB in the HTCA as i391.,Boolean,"0 to 7, see Table W",Not available,Not available,Multiplexers,System Communications [Ref: 2],"Ref 14: 4513 330 7025 - sheet 3, 4"
,,,,,,,,HT and RF [Ref: 7],4513 330 7027 - sheet 1
,,,,,,,,Beam Physics [Ref: 8],
,,,,,,,,"Cooling, Gas and Vacuum [Ref: 4]",
i410 - RHCA AO8 PCB output multiplexer channel select,RH AO8 mux,This item selects the channel number to be monitored on the AO8 PCB in the RHCA as i392.,Boolean,"0 to 7, see Table X",Not available,Not available,Multiplexers,System Communications [Ref: 2],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
i411 - RHCA RTU A HT interlock monitor,HT I/L RHA,This item enables the HT interlock in RTU A of the RHCA.,Boolean,Not available,Not available,Not available,Area Status,Power Supplies and Interlocks [Ref: 5],Not available
,,,,,,,,HT and RF [Ref: 7],
i412 - Dosimetry DOS-A PCB interlock enable,Dose I/L 1,Writing to this item causes the dosimetry interlocks to be enabled on the DOS-A PCB. The written value is not relevant.,Not available,Not available,Not available,Not available,Area Status,Power Supplies and Interlocks [Ref: 5],Not available
,,,,,,,,Dosimetry [Ref: 9],
i413 - RHCA RTU B HT interlock monitor,HT I/L RHB,This item enables the HT interlock in RTU B of the RHCA.,Boolean,Not available,Not available,Not available,Area Status,Power Supplies and Interlocks [Ref: 5],Not available
,,,,,,,,HT and RF [Ref: 7],
i414 - Dosimetry DOS-B PCB interlock enable,Dose I/L 2,Writing to this item causes the dosimetry interlocks to be enabled on the DOS-B PCB. The written value is not relevant.,Boolean,Not available,Not available,Not available,Area Status,Power Supplies and Interlocks [Ref: 5],Not available
,,,,,,,,Dosimetry [Ref: 9],
i415 - HTCA RTU A HT interlock monitor,HT I/L HTA,This item enables the HT interlock in RTU A of the HTCA.,Boolean,Not available,Not available,Not available,Area Status,Power Supplies and Interlocks [Ref: 5],Not available
,,,,,,,,HT and RF [Ref: 7],
i416 - HTCA AO12 PCB output multiplexer channel select,HT AO12 mux,This item selects the channel number to be monitored on the AO12 PCB in the HTCA as i393.,Boolean,"0 to 7, see Table Y",Not available,Not available,Multiplexers,HT and RF [Ref: 7],"Ref 14: 4513 330 7025 - sheet 1, 2"
,,,,,,,,Beam Physics [Ref: 8],4513 330 7088 - sheet 1
i417 - HTCA RTU B HT interlock monitor,HT I/L HTB,This item enables the HT interlock in RTU B of the HTCA.,Boolean,Not available,Not available,Not available,Area Status,Power Supplies and Interlocks [Ref: 5],Not available
,,,,,,,,HT and RF [Ref: 7],
i418 - RHCA AO12 multiplexer,RH AO12mux,This item selects the channel number to be monitored on the AO12 PCB in the RHCA as i394.,Boolean,"0 to 7, see Table Z",Not available,Not available,Multiplexers,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7024 - sheet 1
,,,,,,,,HT and RF [Ref: 7],"4513 330 7026 - sheet 1, 2"
,,,,,,,,Beam Physics [Ref: 8],4513 330 7028 - sheet 1
i419 - MLC not ready,MLC Not Ready,This item indicates that the MLC interlock chain is broken.,Not available,Not available,Integer,Not available,Not available,Beam Limiting Devices [Ref: 12],Not available
i420 - High power,High power,This item selects which power setting is required for the HT system. The item controls the power contactors in the interface cabinet.,Boolean,0 Low power,Integer,None,"Area Status, Modulator, System Test 1",HT and RF [Ref: 7],Ref 14: 4513 330 7084
,,,,1 High power,,,,,
i421 - Start enable,Start en,This item controls the +22 V supply to the FKP <START> button interlock.,Boolean,0 Disable <START> ,Integer,None,Area Status,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7054 - sheet 1 
,,,,1 Enable <START>,,,,,
i422 - HT interlock enable,HT enable,This item breaks the HT interlock chain if the TCC detects that any other interlock chain on the digital accelerator is broken.,Boolean,0 Disable HT interlock,Integer,None,Area Status,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7054 - sheet 1 
,,,,1 Enable HT interlock,,,,,
i423 - Neutron door override,Neut dr OR,"This item allows the client’s neutron door interlock to be overridden when the digital accelerator is operating at energies at which neutrons are not produced, or when suitable room shielding is provided.",Boolean,0 Neutron door interlock not overridden,Integer,None,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7071 - sheet 1 
,,,,1 Neutron door interlock overridden,,,,,
i424 - Customer ready,Cust ready,Not available,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],4513 330 7038 - sheet 3
i425 - Buzzer alert,Buzz alert,This item controls the audible warning on the drum assembly.,Boolean,0 Warning Off,Integer,None,Area Voltages,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7071 - sheet 1
,,,,1 Warning On,,,,,
i426 - Precise Table clutch,PSS clutch,The transmit item that controls the XY clutch on the ram PSS.,Not available,Not available,Integer,Not available,Not available,Not available,Ref 14: 4513 330 7063
i427 - Gantry scale lamp,Gant scale,This item controls the gantry scale lamp.,Boolean,0 Gantry scale lamp Off,Integer,None,Contactors,Not available,Ref 14: 4513 330 7038 - sheet 4
,,,,1 Gantry scale lamp On,,,,,
i428 - Laser set,Laser set,"This item shows whether the laser electrical supply is On, and therefore, whether the room lasers should be On.",Not available,Not available,Integer,Not available,Edit Machine Item Part,Not available,Ref 14: 4513 330 7038 - sheet 3
i429 - Distance meter set,D/mtr set,This item shows whether the distance meter lamp is On.,Boolean,0 Distance meter lamp Off,Integer,None,Edit Machine Item Part,Not available,Ref 14: 4513 330 7038 - sheet 2
,,,,1 Distance meter lamp On,,,,,
i430 - Collimator solenoid,Coll solen,Not available,Boolean,Not available,Integer,Not available,Edit Machine Item Part,Beam Physics [Ref: 8],Ref 14: 4513 330 7040 - sheet 1 
i431 - Bending coil calibration,Bend C Cal,Not used,Boolean,Not available,Integer,Not available,Edit Machine Item Part,Not available,Not available
i432 - Temperature probe,Temp probe,Controls the relay that selects the temperature probe read by i225.,Boolean,0 Center joint relay,Integer,None,Edit Machine Item Part,HT and RF [Ref: 7],Ref 14: 4513 330 7045 - sheet 1
,,,,1 Gun end relay,,,,,
i433 - PRF set,PRF set,This item selects the pulse repetition frequency (PRF) to be produced by the PPG PCB.,Boolean,"0 to 7, see Table A1",Not available,Not available,Modulator,HT and RF [Ref: 7],Ref 14: 4513 330 7084
i434 - Phase lock,Phase lock,This item selects whether the HT PRF is locked to the input mains frequency.,Boolean,0 PRF not locked,Integer,None,Edit Machine Item Part,HT and RF [Ref: 7],Ref 14: 4513 330 7084
,,,,1 PRF locked,,,,,
i435 - PRF high power,PRF H Pwr,This item informs the PPG PCB that high power is selected and therefore that operation at a PRF of 400 Hz is not permitted.,Boolean,0 High power not selected,Integer,None,"Area Status, Modulator, System Test 1",HT and RF [Ref: 7],Not available
,,,,1 High power selected,,,,,
i436 - PPG Tuner Auto Error Threshold,PPG Tune Error Limit,This item specifies the limit or threshold applied to the composite phase error. The item controls the speed of tuner movement for a very high phase error.,Not available,Not available,Not available,ms,Edit Machine Item Part,HT and RF [Ref: 7],Ref 14: 4513 330 7084
i437 - Gun delay,Gun delay,This item controls the trigger delay for an independent gun delay system. The item is not in use.,Not available,0 to 25.5 after thyratron trigger,Not available,µs,Edit Machine Item Part,Not available,Not available
i438 - Phase sample,Phase smpl,This item controls the sample delay period for the phase system.,Units,0.0 µs to 25.5 µs after thyratron trigger,0.1 µs,µs,"AFC, Beam Control, Plotter",HT and RF [Ref: 7],Not available
i439 - Primary collimator enable (RHA),Collim en,This item enables and disables the primary collimator.,Boolean,0 Primary collimator not enabled,Integer,None,Edit Machine Item Part,Beam Physics [Ref: 8],Ref 14: 4513 330 7040 - sheet 1 
,,,,1 Primary collimator enabled,,,,,
i440 - Secondary filter enable (RHB),Filter en,This item enables and disables the secondary filter.,Boolean,0 Secondary filter not enabled,Integer,None,Edit Machine Item Part,Beam Physics [Ref: 8],Ref 14: 4513 330 7042 - sheet 1
,,,,1 Secondary filter enabled,,,,,4513 330 7043 - sheet 1
i441 - Calibration Block Base Frequency,PPG Slits Sample,The item is used for the machines with slitless flight tube and controls the base frequency of the radiation generation system.,Not available,0.0 µs to 25.5 µs after thyratron trigger,0.1 µs,µs,Edit Machine Item Part,HT and RF [Ref: 7],Not available
i442 - PPG Tuner Auto Gain,PPG Tune Auto Gain,This is the proportional gain used in hardware magnetron tuner auto servo.,Not available,0.0 µs to 25.5 µs after thyratron trigger,0.1 µs,µs,Edit Machine Item Part,HT and RF [Ref: 7],Not available
i443 - HT enable,PRF HT en,This item enables the PPG PCB to produce thyratron trigger pulses,Boolean,0 Thyratron trigger pulses not enabled,Integer,None,Not available,HT and RF [Ref: 7],Ref 14: 4513 330 7084
,,,,1 Thyratron trigger pulses enabled,,,,,
i444 - Sample valid,Smpl valid,"This item originates at the PPG PCB. It indicates that sampling pulses are being sent to the input sampling for the phase, slit and beam servos.",Boolean,0 Sampling pulses not sent,Integer,None,Edit Machine Item Part,HT and RF [Ref: 7],"Ref 14: 4513 330 7025 - sheet 1, 2"
,,,,1 Sampling pulses sent,,,,Dosimetry [Ref: 9],"4513 330 7048 - sheet 1,2"
i446 - Primary scatter foil position,Scatt posn,This item monitors the position of the control potentiometer for the primary scatter foils.,Not available,Not available,Integer,Not available,Mechanisms,Beam Physics [Ref: 8],4513 330 7041 - sheet 1 
i447 - Primary scatter foil check,Scatt chk,This item monitors the position of the check potentiometer for the primary scatter foils.,Not available,Not available,Integer,Not available,Mechanisms,Beam Physics [Ref: 8],4513 330 7041 - sheet 1 
i448 - LCD dose display,LCD dose,This item allows the dose counters on the LCD PCB to be displayed. The item is especially useful for logging dose given after power failure.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Dosimetry [Ref: 9],Not available
i449 - LCD status word,LCD status,This item shows the status word of the LCD display.,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i450 - Dose channel 2 beam end,D2 Bm end,A hardware status bit that shows the end of BEAM in dosimetry channel 2.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 2
i451 - Dose channel 2 segment end,D2 Sg end,A hardware status bit that shows the end of SEGMENT in dosimetry channel 2.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 2
i452 - PRF enable check,PRF En Chk,This item is used to monitor the hardware PRF enable inputs on the PPG PCB. The main purpose of the item is to determine that the hardware interlocks are broken directly by the dosimetry control system at termination - not by the software.,Not available,Not available,Integer,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],4513 330 7021 - sheet 1
,,,,,,,,HT and RF [Ref: 7],
i453 - Dose channel 2 MU count,D2 MU cnt,A hardware status bit showing that a 1 MU count has occurred in dosimetry channel 2. The software acknowledges the status bit by writing ACKNOWLEDGE COUNT to the DOS-B PCB. Otherwise a hardware termination occurs.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 2
i454 - Dosimetry channel 2 test link,D2 tst lnk,"A hardware status bit that indicates whether the test link is inserted for dosimetry channel 2. If the test link is inserted, it is not possible to operate in normal mode.",Boolean,0 Test link not inserted,Integer,None,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 2
,,,,1 Test link inserted,,,,,
i455 - Dosimetry channel 2 reset enable,D2 rst en,A hardware status bit that indicates whether the dosimetry reset is enabled for dosimetry channel 2.,Boolean,0 Reset not enabled,Integer,None,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 2
,,,,1 Reset enabled,,,,,
i456 - Dose channel 2 supply,D2 supply,"A hardware status bit that indicates a fault in any power supply to dosimetry channel 2. The monitored supplies are: +15 V, -15 V, +6.3 V ref, -300 V. +5 V is implicitly checked by accessing the DOS-B PCB.",Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],4513 330 7048 - sheet 2
,,,,,,,,,4513 330 7049 - sheet 1
i457 - Dose channel 2 excess rate,D2 Ex rate,A hardware status bit that shows whether an excess rate fault has occurred in dosimetry channel 2. The hardware excess rate fault is tripped at a dose rate of between 1100 MU/min and 1200 MU/min.,Not available,Not available,Not available,Not available,Dosimetry,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 2
,,,,,,,,Dosimetry [Ref: 9],
i458 - Dose channel 2 reset ,D2 reset,A hardware status bit that shows whether the dosimetry reset is applied in dosimetry channel 2.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 2
i459 - Dose channel 2 write protect,D2 Wr prot,A hardware status bit that shows whether new settings can be written to dosimetry channel 2.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 2
i460 - Dose channel 2 dummy,D2 dummy D,"A hardware status bit showing whether the dummy dose FET is on in dosimetry channel 2, allowing a dummy dose to be injected for a complete sequence test.",Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 2
i461 - Dose channel 2 relay off,D2 rly off,"A hardware status bit showing whether the dosimetry relay is enabled in dosimetry channel 2. The relay is disabled by any fault status, and by end of beam on the hardware counters. The relay is re-enabled by a dosimetry reset.",Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 2
i462 - Dose channel 2 illegal write,D2 Ill wrt,A hardware status bit showing whether an illegal write to dosimetry channel 2 has occurred.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 2
i463 - Dose channel 2 count not acknowledged,D2 cnt NAK,"A hardware status bit showing that two counts have occurred on the beam counter of dosimetry channel 2, and the software has failed to acknowledge the first count.",Not available,Not available,Not available,Not available,Dosimetry,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 2
,,,,,,,,Dosimetry [Ref: 9],
i465 - D2 applied zero,D2 applied zero,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i466 - Reset dose channel 2,D2 reset dose,This item resets dosimetry channel 2.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 2
,,,,,,,,Dosimetry [Ref: 9],
i467 - Dose channel 2 write protect,D2 Wr prot set,This item sets the write protection for dosimetry channel 2.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 2
,,,,,,,,Dosimetry [Ref: 9],
i468 - Dose channel 2 dummy dose enable,D2 dummy D en,This item enables the dummy dose for dosimetry channel 2.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 2
i469 - Dose channel 2 reset off,D2 reset off,This item disables the reset for dosimetry channel 2.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 2
,,,,,,,,Dosimetry [Ref: 9],
i470 - Force termination of dose channel 2,D2 Force term,This item initiates a forced termination of dosimetry channel 2.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14:4513 330 7048 - sheet 2
,,,,,,,,Dosimetry [Ref: 9],
i471 - Reset dose channel 1,D1 reset dose,This item resets dosimetry channel 1.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 1
,,,,,,,,Dosimetry [Ref: 9],
i472 - Set write protection for dose channel 1,D1 Wr prot set,This item sets the write protection for dosimetry channel 1.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 1
,,,,,,,,Dosimetry [Ref: 9],
i473 - Dose channel 1 dummy dose enable,D1 dummy D en,This item enables the dummy dose for dosimetry channel 1.,Not available,Not available,Not available,Not available,Not available,Edit Machine Item Part,Ref 14: 4513 330 7048 - sheet 1
i474 - Dose channel 1 reset off,D1 reset off,This item disables the reset for dosimetry channel 1.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 1
,,,,,,,,Dosimetry [Ref: 9],
i475 - Force termination of dose channel 1,D1 Force term,This item initiates a forced termination of dosimetry channel 1.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 1
,,,,,,,,Dosimetry [Ref: 9],
i476 - Precise Table lateral enable,PSS Lat en,Enables the lateral movement drive motor for the Precise Table.,Not available,Not available,Integer,Not available,Edit Machine Item Part,Precise Table,Ref 14: 4513 330 7062
i477 - RHCA DIE RHA port 4,RHA port 4,This item is not used.,Not available,Not available,Not available,Not available,Not available,Not available,Not available
